author_name,author_url,author_average_rating,author_number_of_people_read,author_number_of_people_wants_to_read,author_date_of_birth,author_number_of_fans,author_number_of_books_written,author_number_of_awards
Estelle Maskame,https://lubimyczytac.pl/autor/115470/estelle-maskame,7.4,4173,5371,17.08.1964,155,6,0
Becky Albertalli,https://lubimyczytac.pl/autor/111840/becky-albertalli,7.0,4393,5079,17.08.1964,97,9,0
 L.A. Casey,https://lubimyczytac.pl/autor/100332/l-a-casey,7.3,3876,7417,17.08.1964,256,17,0
Jakub Bobrowski,https://lubimyczytac.pl/autor/146754/jakub-bobrowski,7.2,3437,3558,17.08.1964,2,2,0
Jenny Blackhurst,https://lubimyczytac.pl/autor/126399/jenny-blackhurst,7.0,8526,8310,17.08.1964,245,8,0
Małgorzata Rejmer,https://lubimyczytac.pl/autor/31138/malgorzata-rejmer,6.8,6289,8301,01.01.1985,88,16,4
Julia Brylewska,https://lubimyczytac.pl/autor/211436/julia-brylewska,7.9,6342,7254,01.01.1985,467,15,1
Alice Lugen,https://lubimyczytac.pl/autor/190530/alice-lugen,7.6,3219,1883,przybliżona),9,1,0
Ashlee Vance,https://lubimyczytac.pl/autor/123904/ashlee-vance,5.6,3392,2344,przybliżona),1,3,0
Jon Klassen,https://lubimyczytac.pl/autor/65979/jon-klassen,7.5,3697,3287,przybliżona),4,8,1
Penelope Ward,https://lubimyczytac.pl/autor/105417/penelope-ward,7.0,9494,18604,10.07.1975,499,52,0
Susanna Kaysen,https://lubimyczytac.pl/autor/30774/susanna-kaysen,6.1,3497,4137,11.11.1948,13,5,0
Lisa De Jong,https://lubimyczytac.pl/autor/101224/lisa-de-jong,7.2,3686,5377,11.11.1948,116,10,0
Sebastian Fitzek,https://lubimyczytac.pl/autor/15935/sebastian-fitzek,7.3,9802,17312,13.10.1971,720,46,0
Michalina Wisłocka,https://lubimyczytac.pl/autor/10561/michalina-wislocka,5.9,4006,3535,01.07.1921,24,9,0
Kerrelyn Sparks,https://lubimyczytac.pl/autor/30876/kerrelyn-sparks,7.2,4982,11997,01.07.1921,458,29,0
Jacek Dehnel,https://lubimyczytac.pl/autor/22427/jacek-dehnel,6.4,6649,8978,01.05.1980,324,47,0
Philip Roth,https://lubimyczytac.pl/autor/14460/philip-roth,6.8,6231,13400,19.03.1933,337,34,0
Kelsey Miller,https://lubimyczytac.pl/autor/178244/kelsey-miller,6.1,3300,727,19.03.1933,3,1,0
Marcin Ciszewski,https://lubimyczytac.pl/autor/13386/marcin-ciszewski,7.1,7698,9586,19.03.1933,618,32,0
Patricia Briggs,https://lubimyczytac.pl/autor/30327/patricia-briggs,7.4,4184,10617,19.03.1933,517,37,0
Gena Showalter,https://lubimyczytac.pl/autor/33533/gena-showalter,7.1,5281,11766,19.03.1933,304,84,0
Denis Diderot,https://lubimyczytac.pl/autor/7013/denis-diderot,6.4,4518,2940,05.10.1713,31,19,0
Colleen McCullough,https://lubimyczytac.pl/autor/15172/colleen-mccullough,6.9,4268,3976,01.06.1937,64,20,0
Mark Haddon,https://lubimyczytac.pl/autor/30154/mark-haddon,6.4,3681,3591,26.09.1962,18,6,1
Erin Morgenstern,https://lubimyczytac.pl/autor/63838/erin-morgenstern,7.4,4729,7778,08.07.1978,94,2,0
Siobhan Dowd,https://lubimyczytac.pl/autor/103603/siobhan-dowd,7.1,3074,4409,04.02.1960,3,2,0
Kasie West,https://lubimyczytac.pl/autor/80988/kasie-west,7.2,6846,10165,04.02.1960,482,17,0
Josephine Angelini,https://lubimyczytac.pl/autor/51855/josephine-angelini,7.6,3981,6547,04.02.1960,276,12,0
Siergiej Łukjanienko,https://lubimyczytac.pl/autor/19909/siergiej-lukjanienko,6.5,5186,9375,11.04.1968,445,33,0
Jacob Grimm,https://lubimyczytac.pl/autor/6486/jacob-grimm,6.9,8418,5162,04.01.1785,73,159,0
Tomek Tryzna,https://lubimyczytac.pl/autor/18445/tomek-tryzna,6.0,3993,1866,15.03.1948,29,7,0
Cezary Łazarewicz,https://lubimyczytac.pl/autor/66053/cezary-lazarewicz,6.9,6392,8499,06.07.1966,88,18,1
Gina L. Maxwell,https://lubimyczytac.pl/autor/76362/gina-l-maxwell,7.4,3933,2818,06.07.1966,90,12,0
Holly Jackson,https://lubimyczytac.pl/autor/180702/holly-jackson,7.7,3452,5482,przybliżona),139,7,0
Edgar Allan Poe,https://lubimyczytac.pl/autor/11713/edgar-allan-poe,7.1,15595,26803,19.01.1809,1950,202,0
William Peter Blatty,https://lubimyczytac.pl/autor/19993/william-peter-blatty,6.7,3388,2942,07.01.1928,15,5,0
Jan Kochanowski,https://lubimyczytac.pl/autor/53/jan-kochanowski,6.2,9670,2403,01.01.1530,95,103,0
Anna Kamińska,https://lubimyczytac.pl/autor/34721/anna-kaminska,7.3,6173,5447,01.01.1530,82,9,0
Samuel Beckett,https://lubimyczytac.pl/autor/20388/samuel-beckett,7.7,4223,5082,13.04.1906,245,48,1
Sergiusz Piasecki,https://lubimyczytac.pl/autor/15027/sergiusz-piasecki,7.6,4638,5684,01.04.1901,364,18,0
Jacek Hołub,https://lubimyczytac.pl/autor/91193/jacek-holub,7.2,6828,7703,17.02.1972,99,6,0
praca zbiorowa,https://lubimyczytac.pl/autor/8337/praca-zbiorowa,7.0,35339,93380,17.02.1972,27,26793,0
Ewa Nowak,https://lubimyczytac.pl/autor/5021/ewa-nowak,6.9,12106,9820,21.12.1966,663,86,0
Deborah Feldman,https://lubimyczytac.pl/autor/144567/deborah-feldman,6.9,3126,2127,17.08.1986,13,2,0
Lee Weatherly,https://lubimyczytac.pl/autor/48892/lee-weatherly,7.0,3568,4257,01.01.1967,87,7,0
Oliver Bowden,https://lubimyczytac.pl/autor/40672/oliver-bowden,7.1,4742,10234,01.01.1967,176,9,0
Isaac Bashevis Singer,https://lubimyczytac.pl/autor/19011/isaac-bashevis-singer,7.3,5313,7485,21.11.1902,280,50,0
Miklós Nyiszli,https://lubimyczytac.pl/autor/31295/miklos-nyiszli,8.2,3372,4256,17.06.1901,7,2,0
Erich Segal,https://lubimyczytac.pl/autor/24771/erich-segal,6.9,8193,6667,16.06.1937,343,12,0
Max Brooks,https://lubimyczytac.pl/autor/3879/max-brooks,7.3,3748,3438,23.05.1972,45,9,0
Rachel Hawkins,https://lubimyczytac.pl/autor/37614/rachel-hawkins,6.9,4185,3377,23.11.1979,137,12,0
Marie Kondo,https://lubimyczytac.pl/autor/110581/marie-kondo,6.6,3719,2069,przybliżona),22,6,0
Nina Reichter,https://lubimyczytac.pl/autor/76289/nina-reichter,7.2,4471,9212,przybliżona),343,7,0
Patryk Vega,https://lubimyczytac.pl/autor/110315/patryk-vega,7.0,4746,2926,02.01.1977,68,5,0
Charlotte Cho,https://lubimyczytac.pl/autor/125273/charlotte-cho,6.9,3433,1190,przybliżona),3,2,0
T.L. Swan,https://lubimyczytac.pl/autor/185696/t-l-swan,7.4,4118,4086,przybliżona),185,23,0
Bill Bryson,https://lubimyczytac.pl/autor/30586/bill-bryson,7.1,5147,12081,08.12.1951,194,31,0
Stephanie Garber,https://lubimyczytac.pl/autor/131296/stephanie-garber,7.6,3686,8356,08.12.1951,132,8,0
Michał Szafrański,https://lubimyczytac.pl/autor/132789/michal-szafranski,7.5,3662,4550,08.12.1951,31,4,0
Bourbon Kid,https://lubimyczytac.pl/autor/242523/bourbon-kid,7.5,3388,2348,08.12.1951,4,9,0
Maxime Chattam,https://lubimyczytac.pl/autor/19844/maxime-chattam,7.0,5919,12867,19.02.1976,555,25,0
Michael Dobbs,https://lubimyczytac.pl/autor/14444/michael-dobbs,6.7,3617,4701,14.11.1948,52,12,0
Cora Carmack,https://lubimyczytac.pl/autor/79569/cora-carmack,6.8,4121,4086,14.11.1948,129,12,0
Tricia Levenseller,https://lubimyczytac.pl/autor/145669/tricia-levenseller,7.6,4337,5653,14.11.1948,89,8,0
Agnieszka Lingas-Łoniewska,https://lubimyczytac.pl/autor/31372/agnieszka-lingas-loniewska,7.4,18745,40200,14.11.1972,1544,103,0
Rebecca Makkai,https://lubimyczytac.pl/autor/113951/rebecca-makkai,7.8,3416,5328,20.04.1978,34,5,0
Ann Brashares,https://lubimyczytac.pl/autor/19456/ann-brashares,7.0,227,76,20.04.1978,2,2,0
Sayaka Murata,https://lubimyczytac.pl/autor/172314/sayaka-murata,7.1,3033,2665,14.08.1979,21,4,0
Joanna Łańcucka,https://lubimyczytac.pl/autor/80269/joanna-lancucka,7.7,2886,2064,14.08.1979,63,5,0
Quentin Blake,https://lubimyczytac.pl/autor/75956/quentin-blake,7.1,1538,734,14.08.1979,1,8,0
Sam Lloyd,https://lubimyczytac.pl/autor/203774/sam-lloyd,7.2,2922,2726,14.08.1979,25,3,0
Kelly Creagh,https://lubimyczytac.pl/autor/47739/kelly-creagh,7.3,3299,5399,14.08.1979,164,6,0
Olivia Cunning,https://lubimyczytac.pl/autor/71798/olivia-cunning,7.3,4097,6526,14.08.1979,301,31,0
Jan Grabowski,https://lubimyczytac.pl/autor/30764/jan-grabowski,7.0,5569,649,16.03.1882,37,23,0
Zadie Smith,https://lubimyczytac.pl/autor/15271/zadie-smith,6.6,5721,9089,25.10.1975,243,23,2
Arturo Pérez-Reverte,https://lubimyczytac.pl/autor/14059/arturo-perez-reverte,6.8,7576,9892,25.11.1951,415,30,0
Joseph Delaney,https://lubimyczytac.pl/autor/3560/joseph-delaney,7.6,3912,12327,25.07.1945,261,37,0
Bohumil Hrabal,https://lubimyczytac.pl/autor/14883/bohumil-hrabal,7.2,8906,14259,28.03.1914,676,51,0
E. Lockhart,https://lubimyczytac.pl/autor/96324/e-lockhart,5.3,3546,4536,13.09.1967,30,17,0
Mariana Leky,https://lubimyczytac.pl/autor/172880/mariana-leky,8.1,2876,3688,13.09.1967,22,4,0
Lisa Gardner,https://lubimyczytac.pl/autor/19376/lisa-gardner,7.0,9698,21082,przybliżona),726,34,0
Irena Małysa,https://lubimyczytac.pl/autor/202227/irena-malysa,7.3,3473,2651,przybliżona),130,5,0
Friedrich Nietzsche,https://lubimyczytac.pl/autor/25439/friedrich-nietzsche,7.4,5406,14603,15.10.1844,548,48,0
Veronica Rossi,https://lubimyczytac.pl/autor/56684/veronica-rossi,7.1,3355,6337,15.10.1844,168,7,0
Krystyna Chiger,https://lubimyczytac.pl/autor/47757/krystyna-chiger,7.8,3206,3707,28.10.1935,7,1,0
Marcin Iwuć,https://lubimyczytac.pl/autor/100706/marcin-iwuc,7.8,3666,5053,28.10.1935,32,3,0
Sharon Bolton,https://lubimyczytac.pl/autor/69845/sharon-bolton,6.8,5525,9672,27.05.1960,514,32,0
C.J. Roberts,https://lubimyczytac.pl/autor/77383/c-j-roberts,8.3,3225,4450,27.05.1960,99,9,0
Maciej Drzewicki,https://lubimyczytac.pl/autor/101095/maciej-drzewicki,7.2,3259,1069,27.05.1960,4,5,1
Simone Elkeles,https://lubimyczytac.pl/autor/69465/simone-elkeles,7.6,3251,2762,02.04.1970,102,9,0
Frederick Forsyth,https://lubimyczytac.pl/autor/14049/frederick-forsyth,6.7,7924,7060,25.08.1938,397,32,0
Ilona Andrews,https://lubimyczytac.pl/autor/30513/ilona-andrews,7.5,4693,13500,25.08.1938,648,60,0
Magda Omilianowicz,https://lubimyczytac.pl/autor/65003/magda-omilianowicz,6.3,3799,3113,01.02.1962,16,19,0
Jenny Downham,https://lubimyczytac.pl/autor/32535/jenny-downham,6.9,3266,3470,przybliżona),17,4,0
Mikki Daughtry,https://lubimyczytac.pl/autor/173028/mikki-daughtry,7.7,3407,2382,przybliżona),7,2,1
Marek Szymaniak,https://lubimyczytac.pl/autor/165740/marek-szymaniak,7.2,4744,3899,przybliżona),19,2,0
K.N. Haner,https://lubimyczytac.pl/autor/107449/k-n-haner,6.9,11588,19816,21.10.1988,757,58,0
Andrzej Stasiuk,https://lubimyczytac.pl/autor/5190/andrzej-stasiuk,6.7,12365,20532,25.09.1960,755,48,5
John Williams,https://lubimyczytac.pl/autor/22020/john-williams,7.2,2855,3602,29.08.1922,24,3,0
K. Bromberg,https://lubimyczytac.pl/autor/99195/k-bromberg,7.4,6013,13283,29.08.1922,414,37,0
Scott Lynch,https://lubimyczytac.pl/autor/30272/scott-lynch,6.8,3381,6607,02.04.1978,205,7,0
Marcel Proust,https://lubimyczytac.pl/autor/23013/marcel-proust,7.1,3561,15516,10.07.1871,379,50,2
Zlatan Ibrahimović,https://lubimyczytac.pl/autor/63944/zlatan-ibrahimovic,6.7,3066,972,03.10.1981,6,4,0
Chris Ayres,https://lubimyczytac.pl/autor/120066/chris-ayres,8.2,1223,381,03.10.1981,0,1,0
Małgorzata Budzyńska,https://lubimyczytac.pl/autor/6530/malgorzata-budzynska,5.8,5245,1111,03.10.1981,49,17,0
Janusz Korczak,https://lubimyczytac.pl/autor/7000/janusz-korczak,7.1,5753,3064,22.07.1878,107,62,0
Emil Zola,https://lubimyczytac.pl/autor/30733/emil-zola,6.9,6154,8809,02.04.1840,231,51,1
Andrzej Iwan,https://lubimyczytac.pl/autor/65718/andrzej-iwan,7.8,2769,774,10.11.1959,1,1,0
Iza Komendołowicz,https://lubimyczytac.pl/autor/61727/iza-komendolowicz,6.8,3660,1290,10.11.1959,6,4,0
L.J. Shen,https://lubimyczytac.pl/autor/133590/l-j-shen,7.2,7008,10030,10.11.1959,423,34,0
Adam Przechrzta,https://lubimyczytac.pl/autor/3335/adam-przechrzta,7.1,6579,10110,14.04.1965,462,24,0
Alek Rogoziński,https://lubimyczytac.pl/autor/109812/alek-rogozinski,6.9,15693,21833,14.04.1965,756,60,0
Rebecca Solnit,https://lubimyczytac.pl/autor/115335/rebecca-solnit,7.2,3789,5949,24.06.1961,74,11,0
Michael Cunningham,https://lubimyczytac.pl/autor/23766/michael-cunningham,6.8,4450,5655,06.11.1952,106,10,0
Boris Akunin,https://lubimyczytac.pl/autor/14828/boris-akunin,7.0,5015,8438,20.05.1956,473,38,0
 Stendhal,https://lubimyczytac.pl/autor/22484/stendhal,6.4,3628,4635,23.01.1783,85,28,1
 Sun Bin,https://lubimyczytac.pl/autor/70127/sun-bin,7.0,113,278,23.01.1783,2,1,0
Sophie Hayes,https://lubimyczytac.pl/autor/69527/sophie-hayes,7.1,3128,2108,23.01.1783,6,2,0
Stephen R. Covey,https://lubimyczytac.pl/autor/9756/stephen-r-covey,7.4,3264,7656,24.10.1932,95,21,0
Paulina Wilk,https://lubimyczytac.pl/autor/56527/paulina-wilk,6.8,4144,5085,17.09.1980,33,13,1
Ana Huang,https://lubimyczytac.pl/autor/221077/ana-huang,6.8,3757,6121,17.09.1980,153,17,0
Małgorzata Fugiel-Kuźmińska,https://lubimyczytac.pl/autor/19180/malgorzata-fugiel-kuzminska,6.9,6021,8242,przybliżona),89,14,0
Gray Jolliffe,https://lubimyczytac.pl/autor/20292/gray-jolliffe,6.6,3337,1229,01.01.1937,0,3,0
Tim Marshall,https://lubimyczytac.pl/autor/141679/tim-marshall,7.2,3174,5193,01.01.1937,35,11,0
Piotr Adamowicz,https://lubimyczytac.pl/autor/86556/piotr-adamowicz,7.4,3170,795,26.06.1961,1,3,0
Zoe Sugg,https://lubimyczytac.pl/autor/103568/zoe-sugg,7.3,3837,3432,28.03.1990,114,6,0
Beth Revis,https://lubimyczytac.pl/autor/49446/beth-revis,7.1,3252,6583,28.03.1990,99,18,0
Rudyard Kipling,https://lubimyczytac.pl/autor/21601/rudyard-kipling,6.7,4908,3413,30.12.1865,50,62,0
Michał Witkowski,https://lubimyczytac.pl/autor/8109/michal-witkowski,6.3,7916,6966,17.01.1975,316,25,2
John E. Douglas,https://lubimyczytac.pl/autor/34247/john-e-douglas,7.2,3628,6119,18.06.1945,54,12,0
Nick Bilton,https://lubimyczytac.pl/autor/115408/nick-bilton,7.5,2797,3558,18.06.1945,5,3,0
Richard Chizmar,https://lubimyczytac.pl/autor/141686/richard-chizmar,6.3,3070,1879,21.12.1965,4,7,0
Adrian Bednarek,https://lubimyczytac.pl/autor/100229/adrian-bednarek,7.2,8766,13364,przybliżona),571,30,0
Daniel Goleman,https://lubimyczytac.pl/autor/7685/daniel-goleman,7.4,3790,9092,przybliżona),53,23,0
Philippa Gregory,https://lubimyczytac.pl/autor/17531/philippa-gregory,7.1,7281,28518,09.01.1954,916,41,0
Rachel Abbott,https://lubimyczytac.pl/autor/117000/rachel-abbott,7.3,6872,12278,przybliżona),368,22,0
Alexandra Adornetto,https://lubimyczytac.pl/autor/41337/alexandra-adornetto,7.5,3149,5818,18.04.1992,163,4,0
Stephen E. Ambrose,https://lubimyczytac.pl/autor/16793/stephen-e-ambrose,7.7,3051,3933,10.01.1936,86,8,0
Bret Easton Ellis,https://lubimyczytac.pl/autor/31077/bret-easton-ellis,6.5,3249,4875,07.03.1964,76,10,0
Sarah A. Denzil,https://lubimyczytac.pl/autor/145239/sarah-a-denzil,7.0,4984,5236,07.03.1964,124,14,0
Paweł Huelle,https://lubimyczytac.pl/autor/14496/pawel-huelle,6.5,5674,6189,10.09.1957,165,28,0
Andrzej Maleszka,https://lubimyczytac.pl/autor/31413/andrzej-maleszka,7.5,4447,3586,03.03.1955,122,31,0
Carina Bartsch,https://lubimyczytac.pl/autor/77011/carina-bartsch,7.6,3006,2580,przybliżona),109,4,0
Michelle Cohen Corasanti,https://lubimyczytac.pl/autor/101943/michelle-cohen-corasanti,7.8,2940,3458,przybliżona),32,3,0
Helena Mniszkówna,https://lubimyczytac.pl/autor/25971/helena-mniszkowna,6.2,2993,2356,24.05.1878,46,23,0
Miroslav Žamboch,https://lubimyczytac.pl/autor/3479/miroslav-zamboch,6.7,4198,6528,13.01.1972,327,37,0
Nikos Kazantzakis,https://lubimyczytac.pl/autor/15250/nikos-kazantzakis,7.9,3178,3234,18.02.1883,67,7,0
Sylvain Reynard,https://lubimyczytac.pl/autor/72650/sylvain-reynard,7.4,3658,4367,18.02.1883,169,9,0
John Grogan,https://lubimyczytac.pl/autor/24732/john-grogan,7.1,3183,1799,20.03.1957,29,4,0
Jeanne D'Haem,https://lubimyczytac.pl/autor/30174/jeanne-d-haem,6.7,3183,855,20.03.1957,0,1,0
Cinda Williams Chima,https://lubimyczytac.pl/autor/53061/cinda-williams-chima,7.3,3698,11566,01.01.1952,234,16,0
Cecily von Ziegesar,https://lubimyczytac.pl/autor/6170/cecily-von-ziegesar,6.3,4539,9014,27.06.1970,142,34,0
Paweł Jasienica,https://lubimyczytac.pl/autor/3998/pawel-jasienica,7.2,3984,6977,10.11.1909,248,27,0
Michał Gołkowski,https://lubimyczytac.pl/autor/83219/michal-golkowski,7.3,7866,15991,17.02.1981,610,39,0
Sophie Kinsella,https://lubimyczytac.pl/autor/24404/sophie-kinsella,6.5,6479,4967,12.12.1969,157,43,0
Amy Meredith,https://lubimyczytac.pl/autor/37693/amy-meredith,6.6,3353,3831,12.12.1969,134,5,0
Jeff Abbott,https://lubimyczytac.pl/autor/15392/jeff-abbott,6.7,4348,2511,12.12.1969,47,8,0
Rafał Pacześ,https://lubimyczytac.pl/autor/199118/rafal-paczes,6.9,2898,773,18.06.1990,35,2,0
Nele Neuhaus,https://lubimyczytac.pl/autor/57434/nele-neuhaus,7.7,4904,10492,20.06.1967,346,28,0
 Voltaire,https://lubimyczytac.pl/autor/31603/voltaire,6.5,3988,2413,21.11.1694,75,35,1
Phil Knight,https://lubimyczytac.pl/autor/138545/phil-knight,8.0,2690,2102,24.02.1938,6,2,0
Jeaniene Frost,https://lubimyczytac.pl/autor/33583/jeaniene-frost,7.5,3648,7473,24.02.1938,464,33,0
Eben Alexander,https://lubimyczytac.pl/autor/80164/eben-alexander,6.1,3197,2239,01.12.1953,11,3,0
Jarosław Borszewicz,https://lubimyczytac.pl/autor/33706/jaroslaw-borszewicz,8.3,2907,4567,26.09.1956,286,4,0
Marcin Meller,https://lubimyczytac.pl/autor/51143/marcin-meller,6.7,6078,3476,23.10.1968,76,8,0
Katarzyna Surmiak-Domańska,https://lubimyczytac.pl/autor/23357/katarzyna-surmiak-domanska,7.3,5212,6797,23.10.1968,37,10,0
Barbara Mujica,https://lubimyczytac.pl/autor/30129/barbara-mujica,6.4,2942,1731,23.10.1968,4,2,0
Karin Slaughter,https://lubimyczytac.pl/autor/19313/karin-slaughter,7.0,8805,19517,06.01.1971,661,33,0
Julie Kagawa,https://lubimyczytac.pl/autor/47597/julie-kagawa,7.4,3927,9905,06.01.1971,207,23,0
Kōbō Abe,https://lubimyczytac.pl/autor/30893/k-b-abe,6.5,2868,3046,07.03.1924,52,11,0
Gaston Leroux,https://lubimyczytac.pl/autor/30594/gaston-leroux,7.1,2971,3601,05.06.1868,28,25,0
Tom Clancy,https://lubimyczytac.pl/autor/19066/tom-clancy,7.0,6100,13219,12.04.1947,503,73,0
Maciej Marcisz,https://lubimyczytac.pl/autor/177501/maciej-marcisz,7.1,3624,3156,przybliżona),45,5,0
Hugh Laurie,https://lubimyczytac.pl/autor/19386/hugh-laurie,7.4,2832,1007,11.06.1959,57,2,0
Eduardo Mendoza,https://lubimyczytac.pl/autor/17877/eduardo-mendoza,6.6,6761,8409,11.01.1943,429,23,0
Robert Jordan,https://lubimyczytac.pl/autor/3285/robert-jordan,7.1,3669,18301,17.10.1948,193,27,0
Laila Shukri,https://lubimyczytac.pl/autor/104268/laila-shukri,6.4,7195,6850,17.10.1948,214,18,0
Rachel Hawthorne,https://lubimyczytac.pl/autor/32222/rachel-hawthorne,7.1,3370,3072,17.10.1948,165,4,0
Katherine Paterson,https://lubimyczytac.pl/autor/6837/katherine-paterson,7.1,3180,1597,31.10.1932,18,4,0
Giuseppe Garibaldi Bruno,https://lubimyczytac.pl/autor/270751/giuseppe-garibaldi-bruno,7.0,1636,1010,31.10.1932,0,1,0
Maciej Frączyk,https://lubimyczytac.pl/autor/73304/maciej-fraczyk,6.5,3325,1525,01.05.1984,89,10,0
Maciej Czarnecki,https://lubimyczytac.pl/autor/133238/maciej-czarnecki,7.7,2928,3209,01.05.1984,9,4,0
Anna Ciarkowska,https://lubimyczytac.pl/autor/153763/anna-ciarkowska,7.1,4313,4458,01.05.1984,58,5,0
Bruno Schulz,https://lubimyczytac.pl/autor/30856/bruno-schulz,7.2,15137,8835,12.07.1892,593,49,0
Jordan Belfort,https://lubimyczytac.pl/autor/95552/jordan-belfort,6.9,3058,4098,12.07.1892,24,5,0
Blake Crouch,https://lubimyczytac.pl/autor/49405/blake-crouch,6.8,4689,8766,15.10.1978,133,18,0
Mag­da­ Knedler,https://lubimyczytac.pl/autor/84446/mag-da-knedler,7.1,8882,14248,15.10.1978,185,48,1
Michael Ende,https://lubimyczytac.pl/autor/30450/michael-ende,7.4,4408,3210,12.11.1929,65,10,0
Jill Santopolo,https://lubimyczytac.pl/autor/145057/jill-santopolo,6.9,2710,3132,12.11.1929,30,2,0
Frédéric Martel,https://lubimyczytac.pl/autor/58519/frederic-martel,7.7,2796,3422,12.11.1929,6,3,0
Piotr Krysiak,https://lubimyczytac.pl/autor/43016/piotr-krysiak,5.3,3165,1438,12.11.1929,13,7,0
Łukasz Lamża,https://lubimyczytac.pl/autor/100363/lukasz-lamza,7.3,3475,4098,12.11.1929,50,10,0
Maria Nurowska,https://lubimyczytac.pl/autor/3951/maria-nurowska,6.7,10438,14273,03.03.1944,517,60,0
Lisa McMann,https://lubimyczytac.pl/autor/6331/lisa-mcmann,5.9,3135,2732,27.02.1968,106,14,0
Hugh Howey,https://lubimyczytac.pl/autor/60909/hugh-howey,7.1,2537,6523,przybliżona),67,11,0
Mitch Albom,https://lubimyczytac.pl/autor/22617/mitch-albom,7.2,6510,8948,23.05.1958,158,9,0
Lucinda Berry,https://lubimyczytac.pl/autor/190352/lucinda-berry,7.0,4591,3474,23.05.1958,140,11,0
Marta Bijan,https://lubimyczytac.pl/autor/188354/marta-bijan,7.2,4049,3191,06.04.1996,130,9,0
T. Kingfisher,https://lubimyczytac.pl/autor/172479/t-kingfisher,7.1,4060,3331,06.04.1996,71,21,0
Osamu Dazai,https://lubimyczytac.pl/autor/32370/osamu-dazai,7.1,4748,7923,19.06.1909,295,20,0
Sara Bergmark Elfgren,https://lubimyczytac.pl/autor/71479/sara-bergmark-elfgren,7.4,3012,6865,19.06.1909,32,4,0
Knut Hamsun,https://lubimyczytac.pl/autor/31271/knut-hamsun,6.7,3477,5643,04.08.1859,109,18,1
Magdalena Kostyszyn,https://lubimyczytac.pl/autor/132439/magdalena-kostyszyn,5.4,4029,1637,04.08.1859,11,3,0
Giovanni Boccaccio,https://lubimyczytac.pl/autor/30218/giovanni-boccaccio,6.9,3319,2975,16.06.1313,25,18,0
Arthur Schopenhauer,https://lubimyczytac.pl/autor/8449/arthur-schopenhauer,7.7,4242,7611,22.02.1788,232,32,0
Ernest Cline,https://lubimyczytac.pl/autor/65824/ernest-cline,6.8,2681,2579,22.02.1788,24,3,1
Sue Townsend,https://lubimyczytac.pl/autor/15752/sue-townsend,6.4,4693,2591,02.04.1946,125,22,0
Renee Engeln,https://lubimyczytac.pl/autor/169601/renee-engeln,7.3,2676,3356,02.04.1946,3,1,0
Jeffrey Eugenides,https://lubimyczytac.pl/autor/24910/jeffrey-eugenides,6.2,5134,8185,08.03.1960,172,7,1
Robert Harris,https://lubimyczytac.pl/autor/4264/robert-harris,6.9,6686,8281,07.03.1957,186,21,0
Martín Caparrós,https://lubimyczytac.pl/autor/13989/martin-caparros,6.8,3223,9199,29.05.1957,45,7,0
Marta Fox,https://lubimyczytac.pl/autor/20118/marta-fox,6.4,7802,4821,01.01.1952,213,59,0
Magdalena Kubasiewicz,https://lubimyczytac.pl/autor/46474/magdalena-kubasiewicz,6.9,6917,11692,przybliżona),393,30,0
Jordan Peterson,https://lubimyczytac.pl/autor/152443/jordan-peterson,7.3,2673,6854,12.06.1962,200,7,0
Minka Kent,https://lubimyczytac.pl/autor/144059/minka-kent,6.7,4334,2737,12.06.1962,74,6,0
Eva Völler,https://lubimyczytac.pl/autor/72547/eva-voller,6.9,2907,4333,01.01.1956,115,6,0
Elizabeth Strout,https://lubimyczytac.pl/autor/21276/elizabeth-strout,7.1,4610,6348,06.01.1956,154,11,1
Elif Shafak,https://lubimyczytac.pl/autor/24373/elif-shafak,6.8,5462,12200,25.10.1971,272,18,0
Robert Bloch,https://lubimyczytac.pl/autor/19986/robert-bloch,6.4,4344,5851,05.04.1917,8,25,0
Maciej Parowski,https://lubimyczytac.pl/autor/31890/maciej-parowski,6.7,5514,4140,27.12.1946,16,53,0
Art Spiegelman,https://lubimyczytac.pl/autor/30936/art-spiegelman,8.2,3323,2077,15.02.1948,21,8,0
Gail McHugh,https://lubimyczytac.pl/autor/90301/gail-mchugh,7.2,3422,2852,15.02.1948,119,3,0
Jędrzej Pasierski,https://lubimyczytac.pl/autor/165622/jedrzej-pasierski,6.8,4011,4758,przybliżona),208,11,1
Louise Jensen,https://lubimyczytac.pl/autor/141280/louise-jensen,7.1,5033,6800,przybliżona),154,7,0
Jim Butcher,https://lubimyczytac.pl/autor/31177/jim-butcher,7.0,3936,10596,26.09.1971,187,43,0
Mariusz Czubaj,https://lubimyczytac.pl/autor/19025/mariusz-czubaj,6.6,6853,7863,01.01.1969,256,28,2
Bernard Cornwell,https://lubimyczytac.pl/autor/4729/bernard-cornwell,7.3,5202,21840,23.02.1944,571,67,0
Miguel de Cervantes y Saavedra,https://lubimyczytac.pl/autor/14262/miguel-de-cervantes-y-saavedra,6.8,3835,3579,29.09.1547,40,12,1
Krzysztof Azarewicz,https://lubimyczytac.pl/autor/71437/krzysztof-azarewicz,8.1,2640,1122,29.09.1547,2,12,0
Jan Świtała,https://lubimyczytac.pl/autor/239194/jan-switala,7.4,2742,899,29.09.1547,12,2,0
Hanna Ożogowska,https://lubimyczytac.pl/autor/6441/hanna-ozogowska,6.7,6989,1499,20.07.1904,117,32,0
