author_name,author_url,author_average_rating,author_number_of_people_read,author_number_of_people_wants_to_read,author_date_of_birth,author_number_of_fans,author_number_of_books_written,author_number_of_awards
Turid Rugaas,https://lubimyczytac.pl/autor/37303/turid-rugaas,8.2,523,385,Unknown,7,2,0
 Augusten Burroughs,https://lubimyczytac.pl/autor/23288/augusten-burroughs,7.1,584,416,01.01.1965,20,3,0
Curtis Sittenfeld,https://lubimyczytac.pl/autor/20784/curtis-sittenfeld,6.0,986,668,23.08.1975,3,8,0
Mo Hayder,https://lubimyczytac.pl/autor/23222/mo-hayder,6.9,1470,2068,Unknown,54,11,0
Artur Baniewicz,https://lubimyczytac.pl/autor/3219/artur-baniewicz,6.1,1368,1704,przybliżona),23,12,0
Maria Janion,https://lubimyczytac.pl/autor/14329/maria-janion,7.6,1811,5563,24.12.1926,119,50,0
Janusz Domagalik,https://lubimyczytac.pl/autor/6841/janusz-domagalik,6.6,1429,528,05.07.1931,18,15,0
Piotr Czerwiński,https://lubimyczytac.pl/autor/14843/piotr-czerwinski,6.4,1031,921,Unknown,31,6,0
Jonathan Kellerman,https://lubimyczytac.pl/autor/14008/jonathan-kellerman,6.6,2947,5245,09.08.1949,202,48,0
Banana Yoshimoto,https://lubimyczytac.pl/autor/31468/banana-yoshimoto,6.7,1057,1639,24.07.1964,30,15,0
Sylvia Nasar,https://lubimyczytac.pl/autor/30444/sylvia-nasar,6.6,575,1357,17.08.1947,2,2,0
Vadim Zeland,https://lubimyczytac.pl/autor/51328/vadim-zeland,7.7,588,2483,Unknown,69,11,0
Kiran Desai,https://lubimyczytac.pl/autor/18951/kiran-desai,6.6,684,841,03.09.1971,10,3,1
Greg Bear,https://lubimyczytac.pl/autor/23594/greg-bear,6.4,1683,2022,20.08.1951,11,36,0
Herta Müller,https://lubimyczytac.pl/autor/19003/herta-muller,7.3,1947,3775,17.08.1953,152,18,0
Julie Powell,https://lubimyczytac.pl/autor/30804/julie-powell,5.4,552,379,20.04.1973,4,1,0
Hanna Bakuła,https://lubimyczytac.pl/autor/24250/hanna-bakula,6.0,2348,2103,30.03.1950,55,36,0
Jasvinder Sanghera,https://lubimyczytac.pl/autor/32443/jasvinder-sanghera,6.8,971,873,01.01.1965,9,3,0
Katherine Parker,https://lubimyczytac.pl/autor/22553/katherine-parker,6.2,1713,559,Unknown,16,10,0
Tadeusz Nowak,https://lubimyczytac.pl/autor/31473/tadeusz-nowak,7.3,1110,1374,11.11.1930,37,44,0
Maria Wirtemberska,https://lubimyczytac.pl/autor/26111/maria-wirtemberska,6.8,716,314,15.03.1768,4,4,0
Yukio Mishima,https://lubimyczytac.pl/autor/31024/yukio-mishima,7.5,1804,4826,14.01.1925,170,30,0
Stefan Wiechecki,https://lubimyczytac.pl/autor/16347/stefan-wiechecki,7.4,1202,1870,10.08.1896,101,69,0
Paul Theroux,https://lubimyczytac.pl/autor/25232/paul-theroux,6.5,1739,5334,10.04.1941,75,23,0
Jurij Felsztinski,https://lubimyczytac.pl/autor/7636/jurij-felsztinski,6.6,669,1080,przybliżona),6,9,0
Jean-Marie Gustave Le Clézio,https://lubimyczytac.pl/autor/13827/jean-marie-gustave-le-clezio,6.3,1615,1853,13.04.1940,33,19,0
Mariusz Max Kolonko,https://lubimyczytac.pl/autor/25122/mariusz-max-kolonko,5.9,487,188,Unknown,3,1,0
Roman Polański,https://lubimyczytac.pl/autor/34874/roman-polanski,7.5,838,381,18.08.1933,14,2,0
Peter Mayle,https://lubimyczytac.pl/autor/23621/peter-mayle,6.3,1407,1656,14.06.1939,54,20,0
Andy Andrews,https://lubimyczytac.pl/autor/40926/andy-andrews,7.5,544,555,22.05.1959,6,2,0
Ana Veloso,https://lubimyczytac.pl/autor/22276/ana-veloso,6.8,1482,2052,przybliżona),42,6,0
"Robert ""Robb"" Maciąg",https://lubimyczytac.pl/autor/34517/robert-quot-robb-quot-maciag,6.9,1305,1864,21.01.1974,22,11,1
Irina Dienieżkina,https://lubimyczytac.pl/autor/7109/irina-dieniezkina,5.6,624,220,01.01.1983,4,2,0
Eiichiro Oda,https://lubimyczytac.pl/autor/44725/eiichiro-oda,8.4,683,2192,01.01.1975,93,118,0
David Thomas,https://lubimyczytac.pl/autor/12479/david-thomas,7.9,652,748,06.04.1968,5,4,0
Shaun Tan,https://lubimyczytac.pl/autor/21739/shaun-tan,8.0,855,1374,01.01.1974,43,14,0
Bentley Little,https://lubimyczytac.pl/autor/19124/bentley-little,6.1,866,558,Unknown,32,7,0
Frank Miller,https://lubimyczytac.pl/autor/15578/frank-miller,6.3,2364,2602,27.01.1957,80,100,0
Boris Reitschuster,https://lubimyczytac.pl/autor/35726/boris-reitschuster,6.2,615,550,12.05.1971,5,3,0
Alberto Moravia,https://lubimyczytac.pl/autor/22681/alberto-moravia,6.7,1738,2938,28.11.1907,95,23,0
Marzena Filipczak,https://lubimyczytac.pl/autor/30843/marzena-filipczak,6.7,863,1003,Unknown,8,6,0
Gaelen Foley,https://lubimyczytac.pl/autor/25798/gaelen-foley,7.2,1253,1631,Unknown,79,18,0
Marcin Jakimowicz,https://lubimyczytac.pl/autor/35001/marcin-jakimowicz,7.3,912,684,Unknown,21,28,0
Wojciech Świdziniewski,https://lubimyczytac.pl/autor/3673/wojciech-swidziniewski,6.6,1382,1600,26.07.1975,13,4,0
Jerzy Dudek,https://lubimyczytac.pl/autor/10680/jerzy-dudek,5.7,701,240,23.03.1973,4,5,0
Murray Newton Rothbard,https://lubimyczytac.pl/autor/1071/murray-newton-rothbard,7.5,868,3971,02.03.1926,80,24,0
Jude Deveraux,https://lubimyczytac.pl/autor/22517/jude-deveraux,6.6,3010,5769,20.09.1947,154,64,0
Richard Lee Byers,https://lubimyczytac.pl/autor/3439/richard-lee-byers,6.4,757,570,21.09.1950,0,11,0
Charles Stross,https://lubimyczytac.pl/autor/3539/charles-stross,7.3,980,2058,Unknown,30,38,1
Shoko Tendo,https://lubimyczytac.pl/autor/30896/shoko-tendo,6.3,501,443,Unknown,3,1,0
Mark Buckingham,https://lubimyczytac.pl/autor/45223/mark-buckingham,7.0,1392,2042,23.05.1966,1,72,0
Connie Brockway,https://lubimyczytac.pl/autor/19135/connie-brockway,6.6,1340,1708,16.12.1954,47,19,0
Amelia Atwater-Rhodes,https://lubimyczytac.pl/autor/33749/amelia-atwater-rhodes,5.8,772,423,14.04.1984,27,8,0
Lynn Barber,https://lubimyczytac.pl/autor/31510/lynn-barber,4.7,504,292,Unknown,0,2,0
George Friedman,https://lubimyczytac.pl/autor/33234/george-friedman,7.0,735,1094,Unknown,12,5,0
Abbie Taylor,https://lubimyczytac.pl/autor/19648/abbie-taylor,6.6,509,260,Unknown,2,1,0
Marina Nemat,https://lubimyczytac.pl/autor/31291/marina-nemat,7.7,550,495,Unknown,6,1,0
John Kennedy Toole,https://lubimyczytac.pl/autor/25981/john-kennedy-toole,6.4,477,1415,17.12.1937,9,2,0
Tomasz Bochiński,https://lubimyczytac.pl/autor/3332/tomasz-bochinski,6.6,1883,2327,Unknown,10,17,0
Nancy A. Collins,https://lubimyczytac.pl/autor/3632/nancy-a-collins,5.7,1489,2019,10.09.1959,12,16,0
Włodzimierz Nowak,https://lubimyczytac.pl/autor/32754/wlodzimierz-nowak,7.3,1520,3108,26.02.1958,24,10,0
Ewa Egejska,https://lubimyczytac.pl/autor/17479/ewa-egejska,7.1,565,240,Unknown,1,2,0
Pedro Calderón de la Barca,https://lubimyczytac.pl/autor/17981/pedro-calderon-de-la-barca,6.7,687,469,17.01.1600,6,10,0
Di Toft,https://lubimyczytac.pl/autor/38804/di-toft,7.2,614,433,Unknown,15,3,0
Jeanette Winterson,https://lubimyczytac.pl/autor/23443/jeanette-winterson,6.7,2555,5603,27.08.1959,118,21,0
 Lindsey Kelk,https://lubimyczytac.pl/autor/19770/lindsey-kelk,6.4,743,555,Unknown,16,9,0
 Arystoteles,https://lubimyczytac.pl/autor/12492/arystoteles,6.9,1482,2628,01.01.0384,69,39,0
Robert Graysmith,https://lubimyczytac.pl/autor/16953/robert-graysmith,6.9,508,759,Unknown,1,1,0
James A. Owen,https://lubimyczytac.pl/autor/3372/james-a-owen,7.0,660,965,Unknown,24,7,0
Philipp Vandenberg,https://lubimyczytac.pl/autor/17065/philipp-vandenberg,6.4,1707,1901,20.09.1941,50,19,0
Ron McLarty,https://lubimyczytac.pl/autor/22504/ron-mclarty,6.5,510,235,14.04.1947,1,1,0
Maryse Condé,https://lubimyczytac.pl/autor/31783/maryse-conde,6.1,513,649,11.02.1937,4,5,0
Zbigniew Uniłowski,https://lubimyczytac.pl/autor/33581/zbigniew-unilowski,6.9,660,693,01.05.1909,8,9,0
Rei Kimura,https://lubimyczytac.pl/autor/32044/rei-kimura,6.0,627,781,Unknown,1,2,0
Eugenia Bożena Kłodecka-Kaczyńska,https://lubimyczytac.pl/autor/43134/eugenia-bozena-klodecka-kaczynska,8.1,522,1209,Unknown,0,1,0
Lorenzo Carcaterra,https://lubimyczytac.pl/autor/32987/lorenzo-carcaterra,7.0,648,991,16.10.1954,7,4,0
Chebeka Hachemi (Latifa),https://lubimyczytac.pl/autor/33762/chebeka-hachemi-latifa,6.5,552,302,Unknown,0,1,0
Andrzej Szczeklik,https://lubimyczytac.pl/autor/10658/andrzej-szczeklik,7.7,1107,1917,29.07.1938,37,11,0
Raymond Queneau,https://lubimyczytac.pl/autor/22954/raymond-queneau,7.4,1046,2068,21.02.1903,49,15,0
Mokona Apapa,https://lubimyczytac.pl/autor/41774/mokona-apapa,7.4,1078,1750,16.06.1968,16,157,0
Terri Paddock,https://lubimyczytac.pl/autor/23159/terri-paddock,7.2,499,366,Unknown,2,1,0
Rafał Wojaczek,https://lubimyczytac.pl/autor/30652/rafal-wojaczek,7.8,2721,3683,06.12.1945,475,41,0
Monika Feth,https://lubimyczytac.pl/autor/32477/monika-feth,6.2,653,623,08.06.1951,10,2,0
Chelsea Cain,https://lubimyczytac.pl/autor/19632/chelsea-cain,6.8,1055,1375,05.02.1972,20,11,0
Kristina Digman,https://lubimyczytac.pl/autor/75905/kristina-digman,7.7,770,468,01.01.1959,0,6,0
Andrew Gross,https://lubimyczytac.pl/autor/17605/andrew-gross,6.5,1960,1658,przybliżona),11,18,0
Karen Traviss,https://lubimyczytac.pl/autor/3350/karen-traviss,7.0,1113,1719,Unknown,33,28,0
Gordon R. Dickson,https://lubimyczytac.pl/autor/30181/gordon-r-dickson,6.7,1310,1933,01.11.1923,33,58,0
Xue Xinran,https://lubimyczytac.pl/autor/31888/xue-xinran,7.3,651,741,01.01.1958,9,5,0
Tracy Anne Warren,https://lubimyczytac.pl/autor/25781/tracy-anne-warren,7.0,885,660,Unknown,31,7,0
Guy de Maupassant,https://lubimyczytac.pl/autor/22972/guy-de-maupassant,6.9,1819,2939,05.08.1850,65,76,0
Lisa Papademetriou,https://lubimyczytac.pl/autor/14965/lisa-papademetriou,7.0,613,265,Unknown,1,2,0
Lolita Pille,https://lubimyczytac.pl/autor/21149/lolita-pille,6.6,644,859,27.08.1982,21,2,0
John Denis,https://lubimyczytac.pl/autor/38514/john-denis,6.3,753,177,Unknown,2,2,0
Marina Diaczenko,https://lubimyczytac.pl/autor/3478/marina-diaczenko,6.8,1346,2257,Unknown,42,24,0
Daniel Senderek,https://lubimyczytac.pl/autor/30162/daniel-senderek,5.2,505,101,Unknown,0,1,0
Teresa Monika Rudzka,https://lubimyczytac.pl/autor/41507/teresa-monika-rudzka,6.4,1009,996,Unknown,11,13,0
Eugène Ionesco,https://lubimyczytac.pl/autor/15317/eugene-ionesco,7.7,1016,1360,26.11.1909,48,16,0
Melissa Senate,https://lubimyczytac.pl/autor/24051/melissa-senate,6.0,1088,702,Unknown,1,5,0
David Lodge,https://lubimyczytac.pl/autor/18054/david-lodge,6.7,1458,2006,28.01.1935,88,19,0
Alexander McCall Smith,https://lubimyczytac.pl/autor/17907/alexander-mccall-smith,6.9,1212,1965,24.08.1948,52,53,0
Patrick Graham,https://lubimyczytac.pl/autor/30273/patrick-graham,6.5,534,446,Unknown,1,2,0
Naoko Takeuchi,https://lubimyczytac.pl/autor/39189/naoko-takeuchi,7.9,811,1549,15.03.1967,76,48,0
Daria Doncowa,https://lubimyczytac.pl/autor/13985/daria-doncowa,6.9,986,1119,07.07.1952,66,19,0
Edyta Czepiel,https://lubimyczytac.pl/autor/23415/edyta-czepiel,5.9,517,191,Unknown,0,1,0
Diana Palmer,https://lubimyczytac.pl/autor/16039/diana-palmer,6.3,4104,11980,11.12.1946,259,201,0
Francesc Miralles,https://lubimyczytac.pl/autor/38425/francesc-miralles,6.6,1699,1817,Unknown,15,16,0
Simon Kernick,https://lubimyczytac.pl/autor/14456/simon-kernick,6.5,1090,764,Unknown,39,24,0
Hinako Takanaga,https://lubimyczytac.pl/autor/43637/hinako-takanaga,7.0,780,604,12.09.1972,26,47,0
Teresa Torańska,https://lubimyczytac.pl/autor/15636/teresa-toranska,7.3,1217,2068,01.01.1944,51,21,0
Giulio De Vita,https://lubimyczytac.pl/autor/43819/giulio-de-vita,6.9,652,493,Unknown,0,7,0
Pearl S. Buck,https://lubimyczytac.pl/autor/14321/pearl-s-buck,7.0,1760,3859,26.06.1892,121,18,0
Glenn Beck,https://lubimyczytac.pl/autor/34588/glenn-beck,6.1,584,366,10.02.1964,2,3,0
Stefan Zweig,https://lubimyczytac.pl/autor/30410/stefan-zweig,7.1,2425,4613,28.11.1881,158,36,0
Mary Carey,https://lubimyczytac.pl/autor/80234/mary-carey,6.8,1288,527,Unknown,0,10,0
Monika Borek,https://lubimyczytac.pl/autor/30844/monika-borek,5.9,488,290,01.01.1879,0,1,0
Teri Hatcher,https://lubimyczytac.pl/autor/31797/teri-hatcher,5.2,471,171,08.12.1964,2,1,0
Steve Hamilton,https://lubimyczytac.pl/autor/19292/steve-hamilton,6.7,1003,1177,Unknown,12,12,0
Marguerite Duras,https://lubimyczytac.pl/autor/23238/marguerite-duras,6.5,618,927,04.04.1914,10,15,1
Ai Yazawa,https://lubimyczytac.pl/autor/38513/ai-yazawa,8.1,1032,1031,07.03.1967,102,56,0
Elena Malinowska,https://lubimyczytac.pl/autor/32155/elena-malinowska,6.6,476,136,04.02.1983,9,1,0
Lynn Cullen,https://lubimyczytac.pl/autor/32002/lynn-cullen,7.7,515,418,Unknown,2,4,0
Jesicca Adams,https://lubimyczytac.pl/autor/31543/jesicca-adams,4.5,445,251,Unknown,0,1,0
Judith Merkle Riley,https://lubimyczytac.pl/autor/24328/judith-merkle-riley,7.1,1029,1803,14.01.1942,57,7,0
Tomasz Witkowski,https://lubimyczytac.pl/autor/5270/tomasz-witkowski,6.8,1075,4215,Unknown,60,28,0
Renée Villancher,https://lubimyczytac.pl/autor/31907/renee-villancher,7.5,443,353,01.01.1927,1,1,0
Henryk Niewiadomski,https://lubimyczytac.pl/autor/30386/henryk-niewiadomski,6.2,469,217,30.10.2007,0,1,0
Maureen Crane Wartski,https://lubimyczytac.pl/autor/36534/maureen-crane-wartski,6.7,544,122,25.01.1940,0,1,0
Sharon Owens,https://lubimyczytac.pl/autor/17390/sharon-owens,6.1,1141,1056,01.01.1968,17,9,0
Stuart Howarth,https://lubimyczytac.pl/autor/31287/stuart-howarth,7.7,544,786,Unknown,3,1,0
Beate Teresa Hanika,https://lubimyczytac.pl/autor/33649/beate-teresa-hanika,6.6,465,317,01.01.1976,1,1,0
Rhiannon Lassiter,https://lubimyczytac.pl/autor/19569/rhiannon-lassiter,7.0,482,215,09.02.1997,1,2,0
Ryūnosuke Akutagawa,https://lubimyczytac.pl/autor/34208/ryunosuke-akutagawa,7.0,1311,3493,01.03.1892,59,20,0
Esteban Martin,https://lubimyczytac.pl/autor/31079/esteban-martin,6.0,745,432,Unknown,4,2,0
Thierry Cohen,https://lubimyczytac.pl/autor/31896/thierry-cohen,7.7,445,624,Unknown,1,1,0
Milena Agus,https://lubimyczytac.pl/autor/14964/milena-agus,6.0,595,565,przybliżona),7,3,0
Artur Oppman,https://lubimyczytac.pl/autor/16630/artur-oppman,6.6,1096,817,14.08.1867,3,58,0
Meagan McKinney,https://lubimyczytac.pl/autor/33138/meagan-mckinney,6.3,1063,866,przybliżona),29,11,0
Marian Falski,https://lubimyczytac.pl/autor/34335/marian-falski,8.1,594,66,07.12.1881,5,2,0
D.J. MacHale,https://lubimyczytac.pl/autor/3438/d-j-machale,7.6,686,862,11.03.1956,44,12,0
Michael White,https://lubimyczytac.pl/autor/13998/michael-white,6.5,1435,1066,16.02.1959,12,13,0
Catherynne M. Valente,https://lubimyczytac.pl/autor/33650/catherynne-m-valente,7.4,1246,4231,05.05.1979,71,34,0
Adrienne Basso,https://lubimyczytac.pl/autor/19053/adrienne-basso,6.5,1195,1168,Unknown,46,10,0
Tarjei Vesaas,https://lubimyczytac.pl/autor/31338/tarjei-vesaas,7.1,1144,2928,20.08.1897,40,12,0
R.L. Stine,https://lubimyczytac.pl/autor/30577/r-l-stine,6.5,6002,4867,08.10.1943,116,113,0
Cesar Millan,https://lubimyczytac.pl/autor/37267/cesar-millan,7.8,760,865,27.08.1969,33,7,0
Michael Baigent,https://lubimyczytac.pl/autor/7646/michael-baigent,6.5,671,796,27.02.1948,6,11,0
Tim Lebbon,https://lubimyczytac.pl/autor/31902/tim-lebbon,6.5,1554,1966,Unknown,10,18,0
Maria Pruszkowska,https://lubimyczytac.pl/autor/31483/maria-pruszkowska,6.7,484,791,21.03.1910,15,7,0
Juan Rulfo,https://lubimyczytac.pl/autor/31572/juan-rulfo,7.0,470,810,16.05.1917,18,4,0
Judy Budnitz,https://lubimyczytac.pl/autor/30170/judy-budnitz,6.5,678,942,01.01.1977,22,4,0
Tadeusz Manteuffel,https://lubimyczytac.pl/autor/21841/tadeusz-manteuffel,7.5,611,363,05.03.1902,11,29,0
Daniel Suarez,https://lubimyczytac.pl/autor/34092/daniel-suarez,7.4,420,460,21.12.1964,14,7,1
Jack Welch,https://lubimyczytac.pl/autor/5248/jack-welch,6.8,461,743,19.11.1935,4,3,0
Hilary Freeman,https://lubimyczytac.pl/autor/35515/hilary-freeman,6.5,972,607,Unknown,16,6,0
Ian McDonald,https://lubimyczytac.pl/autor/30190/ian-mcdonald,6.8,1083,4764,31.03.1960,37,28,1
Danuta Marcinkowska,https://lubimyczytac.pl/autor/37577/danuta-marcinkowska,6.3,587,383,Unknown,0,3,0
Michael Moynihan,https://lubimyczytac.pl/autor/37430/michael-moynihan,7.4,445,399,Unknown,0,1,0
Piotr Wereśniak,https://lubimyczytac.pl/autor/30479/piotr-weresniak,6.8,607,369,04.07.1969,13,5,0
Donya Al-Nahi,https://lubimyczytac.pl/autor/23376/donya-al-nahi,6.6,558,330,Unknown,1,2,0
Marti Olsen Laney,https://lubimyczytac.pl/autor/10345/marti-olsen-laney,6.2,451,879,Unknown,2,3,0
 Goodgirl,https://lubimyczytac.pl/autor/38760/goodgirl,6.2,453,943,Unknown,8,2,0
Börge Hellström,https://lubimyczytac.pl/autor/24243/borge-hellstrom,7.0,1535,2666,01.01.1958,16,10,0
Weronika R.,https://lubimyczytac.pl/autor/31489/weronika-r,3.8,539,373,Unknown,1,2,0
Ewa Draga,https://lubimyczytac.pl/autor/33845/ewa-draga,6.6,437,157,01.10.1985,12,1,0
Linda Howard,https://lubimyczytac.pl/autor/3381/linda-howard,6.5,2041,2120,03.08.1950,73,25,0
Liza Crihfield Dalby,https://lubimyczytac.pl/autor/45794/liza-crihfield-dalby,7.4,680,757,01.01.1950,7,5,0
Jerzy Szaniawski,https://lubimyczytac.pl/autor/33159/jerzy-szaniawski,7.1,1291,1022,10.02.1886,24,24,0
Ted Dekker,https://lubimyczytac.pl/autor/19136/ted-dekker,6.6,1179,1118,24.10.1962,22,18,0
Friedrich August von Hayek,https://lubimyczytac.pl/autor/24598/friedrich-august-von-hayek,7.9,641,2592,08.05.1899,74,12,0
Nelson DeMille,https://lubimyczytac.pl/autor/19501/nelson-demille,6.9,2511,4962,23.08.1943,110,27,0
C. S. Friedman,https://lubimyczytac.pl/autor/64023/c-s-friedman,7.4,1033,2657,12.01.1957,56,9,0
Richard Watt,https://lubimyczytac.pl/autor/4533/richard-watt,7.8,420,342,Unknown,0,1,0
Greg Behrendt,https://lubimyczytac.pl/autor/25763/greg-behrendt,6.4,470,337,Unknown,3,4,0
Elisabeth Dored,https://lubimyczytac.pl/autor/22885/elisabeth-dored,7.0,482,311,01.01.1908,4,2,0
Willy Russell,https://lubimyczytac.pl/autor/34053/willy-russell,7.9,442,613,23.08.1947,3,4,0
Dave James Pelzer,https://lubimyczytac.pl/autor/31721/dave-james-pelzer,7.8,496,746,29.12.1960,9,6,0
Nick Trout,https://lubimyczytac.pl/autor/30939/nick-trout,7.2,475,501,Unknown,4,2,0
Serge Brussolo,https://lubimyczytac.pl/autor/8112/serge-brussolo,6.5,573,186,31.05.1951,5,6,0
Donald F. Glut,https://lubimyczytac.pl/autor/3900/donald-f-glut,7.0,494,175,Unknown,1,6,0
Stanisław Przybyszewski,https://lubimyczytac.pl/autor/33203/stanislaw-przybyszewski,6.6,1350,1675,07.05.1868,67,66,0
Lillian Glass,https://lubimyczytac.pl/autor/8903/lillian-glass,6.4,684,845,Unknown,6,7,0
Aglaja Veteranyi,https://lubimyczytac.pl/autor/18169/aglaja-veteranyi,7.1,570,836,17.05.1962,38,4,0
Barbara Conklin,https://lubimyczytac.pl/autor/34099/barbara-conklin,6.9,586,112,Unknown,2,2,0
Rafael Ábalos,https://lubimyczytac.pl/autor/19750/rafael-abalos,6.0,651,225,12.10.1956,4,4,0
Thor Heyerdahl,https://lubimyczytac.pl/autor/37698/thor-heyerdahl,7.1,577,929,06.10.1914,24,10,0
Jiří Walker Procházka,https://lubimyczytac.pl/autor/30910/jiri-walker-prochazka,6.4,754,730,18.08.1959,0,9,0
Renata Radłowska,https://lubimyczytac.pl/autor/40389/renata-radlowska,6.8,820,861,01.01.1973,2,2,0
Slavenka Drakulić,https://lubimyczytac.pl/autor/23298/slavenka-drakulic,7.3,582,903,04.07.1949,8,17,0
Plum Sykes,https://lubimyczytac.pl/autor/20399/plum-sykes,5.1,600,204,04.12.1969,2,3,0
Joanna Lipińska,https://lubimyczytac.pl/autor/6494/joanna-lipinska,7.6,791,643,Unknown,0,4,0
Marc Roche,https://lubimyczytac.pl/autor/31854/marc-roche,6.1,401,266,Unknown,0,1,0
Erich von Däniken,https://lubimyczytac.pl/autor/32226/erich-von-daniken,6.2,1735,2454,14.04.1935,112,48,0
Arthur Miller,https://lubimyczytac.pl/autor/15951/arthur-miller,7.1,1081,2382,Unknown,23,20,0
Maurice Maeterlinck,https://lubimyczytac.pl/autor/31323/maurice-maeterlinck,7.1,1416,2067,29.08.1862,18,32,0
Sidonie-Gabrielle Colette,https://lubimyczytac.pl/autor/30732/sidonie-gabrielle-colette,6.4,1861,2871,28.01.1873,90,24,0
Philip José Farmer,https://lubimyczytac.pl/autor/20839/philip-jose-farmer,6.5,1048,1792,26.01.1918,10,80,0
Carmen Laforet,https://lubimyczytac.pl/autor/18953/carmen-laforet,5.5,431,193,06.09.1921,1,2,0
Algernon Blackwood,https://lubimyczytac.pl/autor/19593/algernon-blackwood,7.1,779,1611,14.03.1869,35,20,0
John Updike,https://lubimyczytac.pl/autor/15565/john-updike,6.8,2005,4154,18.03.1932,57,39,0
Wanda Markowska,https://lubimyczytac.pl/autor/21938/wanda-markowska,7.4,1217,1378,20.08.1912,7,28,0
Julie Garwood,https://lubimyczytac.pl/autor/18213/julie-garwood,6.9,1762,2410,01.01.1946,108,31,0
Rania Al-Baz,https://lubimyczytac.pl/autor/44539/rania-al-baz,6.5,479,360,Unknown,1,1,0
Ewa Szelburg-Zarembina,https://lubimyczytac.pl/autor/30723/ewa-szelburg-zarembina,7.0,2210,1390,10.04.1899,24,116,0
Ferenc Máté,https://lubimyczytac.pl/autor/14621/ferenc-mate,6.3,757,785,Unknown,25,4,0
Steven Saylor,https://lubimyczytac.pl/autor/14025/steven-saylor,7.2,1408,3789,23.03.1956,107,25,0
Maj Sjöwall,https://lubimyczytac.pl/autor/19669/maj-sjowall,6.7,1365,2058,25.09.1935,30,12,0
Jun'ichi Watanabe,https://lubimyczytac.pl/autor/31139/jun-ichi-watanabe,6.5,425,341,24.10.1933,2,1,0
Niccolo Ammaniti,https://lubimyczytac.pl/autor/24916/niccolo-ammaniti,7.3,1058,1030,25.09.1966,36,19,0
Wojciech Bogusławski,https://lubimyczytac.pl/autor/23099/wojciech-boguslawski,6.5,628,101,09.04.1757,2,8,0
 Lao Tsy (Laozi),https://lubimyczytac.pl/autor/43459/lao-tsy-laozi,7.6,737,1812,01.01.0604,40,6,0
Daniel Ange,https://lubimyczytac.pl/autor/32137/daniel-ange,6.8,512,324,05.10.1932,16,23,0
Isabelle Merlin,https://lubimyczytac.pl/autor/30822/isabelle-merlin,7.2,542,184,Unknown,6,2,0
Leo G. Linder,https://lubimyczytac.pl/autor/100450/leo-g-linder,6.7,618,358,28.08.1948,0,3,0
Alexandra Potter,https://lubimyczytac.pl/autor/14497/alexandra-potter,6.5,760,610,01.01.1970,9,8,0
Antoine François Prévost d'Exiles,https://lubimyczytac.pl/autor/38673/antoine-francois-prevost-d-exiles,6.3,494,278,01.04.1697,3,1,0
Annie Dalton,https://lubimyczytac.pl/autor/6815/annie-dalton,6.2,807,265,Unknown,14,11,0
Lucy Dillon,https://lubimyczytac.pl/autor/41766/lucy-dillon,6.7,1089,1541,Unknown,38,10,0
Adrienne Barbeau,https://lubimyczytac.pl/autor/40268/adrienne-barbeau,5.9,527,632,11.06.1945,5,2,0
Ute Ehrhardt,https://lubimyczytac.pl/autor/31037/ute-ehrhardt,6.2,510,534,Unknown,3,7,0
Sam Savage,https://lubimyczytac.pl/autor/30526/sam-savage,6.7,402,239,09.11.1940,7,1,0
Elizabeth Adler,https://lubimyczytac.pl/autor/23152/elizabeth-adler,6.3,1934,2871,Unknown,60,28,0
Jan Mela,https://lubimyczytac.pl/autor/37994/jan-mela,7.6,436,282,30.12.1988,7,4,0
Ilja Ilf,https://lubimyczytac.pl/autor/50762/ilja-ilf,7.7,432,575,15.10.1897,5,12,0
Titania Hardie,https://lubimyczytac.pl/autor/31341/titania-hardie,5.7,535,443,Unknown,5,2,0
Stephanie Laurens,https://lubimyczytac.pl/autor/17305/stephanie-laurens,6.7,1156,3442,Unknown,83,56,0
Cindy Jefferies,https://lubimyczytac.pl/autor/6162/cindy-jefferies,6.0,928,564,Unknown,12,20,0
James Cobb,https://lubimyczytac.pl/autor/48566/james-cobb,6.9,498,275,Unknown,4,5,0
Barbara Delinsky,https://lubimyczytac.pl/autor/3921/barbara-delinsky,6.1,2827,3542,09.08.1945,32,60,0
Simon R. Green,https://lubimyczytac.pl/autor/3281/simon-r-green,6.8,1339,2112,Unknown,34,21,0
Michael Robotham,https://lubimyczytac.pl/autor/20664/michael-robotham,7.0,1876,1874,01.11.1960,37,12,0
Melanie Benjamin,https://lubimyczytac.pl/autor/34722/melanie-benjamin,7.5,889,1281,Unknown,4,5,0
Karol Kalinowski,https://lubimyczytac.pl/autor/22759/karol-kalinowski,6.5,640,496,28.07.1982,17,46,0
Izabela Morska,https://lubimyczytac.pl/autor/22558/izabela-morska,6.1,1774,2293,01.01.1961,13,23,0
Jeanne Birdsall,https://lubimyczytac.pl/autor/6255/jeanne-birdsall,7.2,504,141,przybliżona),10,5,0
Katarzyna Bosacka,https://lubimyczytac.pl/autor/11524/katarzyna-bosacka,6.6,736,769,Unknown,11,13,0
Maureen Lindley,https://lubimyczytac.pl/autor/22792/maureen-lindley,6.4,540,465,Unknown,0,2,0
Anthea Turner,https://lubimyczytac.pl/autor/9683/anthea-turner,6.6,495,364,25.05.1960,5,3,0
