author,author_href,description,number_of_user_opinions,number_of_user_ratings,number_of_discussions,Kategoria,Format,Cykl,Tytuł oryginału,Wydawnictwo,Data wydania,Data 1. wyd. pol.,Data 1. wydania,Liczba stron,Czas czytania,Język,ISBN,Tłumacz,Ekranizacje,number_of_people_read,number_of_people_has,number_of_people_favorite,number_of_people_wants_to_read,number_of_people_wants_as_gift,number_of_people_currently_read,tags,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,url,Inne,author1,author_href1,Seria,author2,author_href2,author3,author_href3,author4,author_href4,author5,author_href5,author6,author_href6,author7,author_href7,author8,author_href8,author9,author_href9,author10,author_href10,author11,author_href11,author12,author_href12,author13,author_href13,author14,author_href14,author15,author_href15,author16,author_href16,author17,author_href17,author18,author_href18,author19,author_href19,author20,author_href20,author21,author_href21,author22,author_href22,author23,author_href23,author24,author_href24,author25,author_href25,author26,author_href26,author27,author_href27
Lucinda Riley,https://lubimyczytac.pl/autor/63837/lucinda-riley," Wydanie specjalne uwielbianej bestsellerowej sagi obyczajowej Siedem Sióstr, w którym grzbiety książek złożą się w bajecznie kolorową grafikę, a krawędzie stron ozdobią fantazyjne barwne wzory!Nastrojowa, pełna magii opowieść o Siedmiu Siostrach D’Aplièse, których przyszłość zapisana jest w gwiazdach.Choć urodziły się na różnych kontynentach, wychowały się w bajecznej posiadłości Atlantis na półwyspie Jeziora Genewskiego. Adopcyjny ojciec, nazywany przez nie Pa Saltem, nadał im imiona mitycznych Plejad. Każda ułożyła sobie życie po swojemu i rzadko mają okazję spotkać się wszystkie razem. Do domu ściąga je niespodziewana śmierć ojca, który zostawił każdej list i wskazówki mogące im pomóc w odkryciu własnych korzeni. Maja, najstarsza z sióstr D’Aplièse, podążając za wskazówkami Pa Salta, dociera do Brazylii, gdzie przystojny pisarz pokazuje jej uroki miasta i pomaga odkryć zagmatwaną przeszłość jej rodziny. Tropy wiodą ich do zrujnowanej willi w Rio de Janeiro. Tam Maja poznaje historię swojej przodkini z czasów belle époque, pełnej pasji Izabeli Bonifacio.Osiemdziesiąt lat wcześniej, w 1927 roku, ojciec Izabeli, plantator kawy, postanawia wydać córkę za arystokratę. W tym samym czasie ojciec jej przyjaciółki, architekt Heitor da Silva Costa, pracuje nad posągiem Chrystusa Odkupiciela. Aby zrealizować dzieło, musi udać się do Paryża, gdzie ma nadzieję znaleźć odpowiedniego wykonawcę projektu. Spragniona przygód, stęskniona za wielkim światem Izabela przekonuje ojca, by jeszcze przed ślubem pozwolił jej wziąć udział wyprawie Heitora do Europy. W tętniącym życiem przedwojennym Paryżu Izabela poznaje ambitnego młodego rzeźbiarza, Laurenta Brouilly’ego. I zyskuje pewność, że nic już nie będzie takie jak wcześniej. Czy historia prababki i matki pozwoli Mai odnaleźć drogę do własnego szczęścia?O spektakularnym sukcesie tego cyklu świadczy liczba tłumaczeń (37 języków) oraz rekordowa sprzedaż – ponad 25 milionów egzemplarzy. ",934,7629,0,"literatura obyczajowa, romans",papier,Siedem sióstr (tom 1),The Seven Sisters,Albatros,2024-11-13,2017-03-15,2015-01-01,544.0,9  godz. 4 min.,polski,9788383614021,"Maria Pstrągowska, Marzenna Rączkowska",,9265,1249.0,227.0,7718,,247.0,rodzina&siostry&adopcja&tajemnica&pochodzenie&Brazylia&Rio de Janeiro,852,987,2313,2081,900,278,86,78,28,26,https://lubimyczytac.pl/ksiazka/5134969/siedem-siostr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Małecki,https://lubimyczytac.pl/autor/30658/jakub-malecki," Porywająca opowieść o pięknie i okrucieństwie polskiej prowincji.Kończy się wojna. Jan Łabendowicz odmawia pomocy uciekającej Niemce i ta przeklina jego rodzinę. Wkrótce na świat przychodzi syn Jana: chłopiec o śnieżnobiałej skórze. Kilkadziesiąt kilometrów dalej, w starej szafie wybucha zapomniany granat, burząc życie Bronka Geldy i jego kilkuletniej córki.Na losy Geldów i Łabendowiczów wpływają kolejne dziejowe zawirowania i przepowiednie, a także osobiste słabości i obsesje. Drogi obu rodzin przecinają się w zaskakujący i niespodziewany sposób. Na dobre zespaja je uczucie dwojga odmieńców: introwertycznego albinosa i okaleczonej w płomieniach dziewczyny. ",1128,7574,0,literatura piękna,papier,,,Sine Qua Non,2021-05-12,2015-10-07,,336.0,5  godz. 36 min.,polski,9788382102192,,,8919,1475.0,362.0,4954,,114.0,Poznań&Armia Czerwona&groteska&II wojna światowa&ironia&klątwa&literatura polska&międzywojnie&obsesja&PRL&przeznaczenie&rodzina&tajemnica&uczucie&wieś,692,1430,2669,1833,644,176,62,38,15,15,https://lubimyczytac.pl/ksiazka/4968720/dygot,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulina Świst,https://lubimyczytac.pl/autor/144166/paulina-swist," Trzydziestoletnia, niezwykle atrakcyjna Kinga Błońska jest szczęśliwą kobietą. To znaczy była. Od wielu lat dzieliła życie z tym samym mężczyzną a zawodowo, jako błyskotliwa adwokatka, odnosiła sukcesy na sali sądowej. Teraz jednak fortuna przestała jej sprzyjać: nie dość, że przyłapała męża na zdradzie, to musiała również podjąć się prowadzenia sprawy groźnego bandyty „Szarego”. Co gorsza, „Szary” jest jej przyrodnim bratem, z którym od dawna nie miała – i nie chciała mieć – nic do czynienia.Wydarzenia ostatnich tygodni postanawia odreagować w dyskotece. Po raz pierwszy w życiu ma ochotę zachować się nieodpowiedzialnie… i udaje się jej to aż za bardzo. Ląduje w mieszkaniu Łukasza, którego dopiero co poznała na parkiecie. Po niesamowitych miłosnych uniesieniach, zaspokojna seksualnie, ale skacowana moralnie, ukradkiem wraca do domu. Zaledwie kilka godzin później przekonuje się, że pech upodobał ją sobie na dobre: ""facet na jedną noc"" okazuje się prokuratorem prowadzącym sprawę jej przyrodniego brata. Jakby tego było mało, wszystko wskazuje na to, że pozasłużbowe kontakty Kingi i Łukasza nie ograniczą się do jednego gorącego spotkania… ",1105,7477,0,"literatura obyczajowa, romans",papier,Prokurator (tom 1),,Muza,2017-05-24,2017-05-24,,320.0,5  godz. 20 min.,polski,9788328706309,,,9757,1313.0,221.0,1835,,93.0,adwokat&literatura polska&namiętność&powieść kryminalna&pożądanie&proces sądowy&prokurator&przestępstwo&relacje damsko-męskie&relacje rodzinne&seks&stres&trauma&zdrada&romans&prawo&literatura xxi wieku&gliwice,837,587,1264,1708,1430,750,369,263,170,99,https://lubimyczytac.pl/ksiazka/4559828/prokurator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Pratchett,https://lubimyczytac.pl/autor/3221/terry-pratchett," Jest to opowieść o tym, czym jest magia i dokąd zmierza, a co ważniejsze, skąd przychodzi i po co. Przedstawiona historia nie pretenduje do odpowiedzi na wszystkie te pytania, może jednak pomóc w wyjaśnieniu, dlaczego Gandalf nigdy się nie ożenił i dlaczego Merlin był mężczyzną. Jest to również opowieść o seksie, choć nie w sensie atletyczno-gimnastycznym, czy też w sensie policz wszystkie nogi i podziel przez dwa. Chyba że postacie całkowicie wyrwą się spod kontroli autora. I to jest możliwe. ",328,7218,0,"fantasy, science fiction",papier,Świat Dysku (tom 3),Equal Rites,Prószyński i S-ka,2006-01-10,1996-01-01,1987-01-01,200.0,3  godz. 20 min.,polski,9788376480404,Piotr W. Cholewa,,10725,2136.0,293.0,1761,70.0,78.0,Świat Dysku,360,700,1500,2750,1244,497,77,76,6,8,https://lubimyczytac.pl/ksiazka/4051/rownoumagicznienie,,,,Nowa Fantastyka [Seria książek],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meg Cabot,https://lubimyczytac.pl/autor/6222/meg-cabot," Pierwszy tom kultowej serii o księżniczce Mii.Cześć, jestem Mia. Mam czternaście lat, metr siedemdziesiąt pięć wzrostu, duże stopy i zagrożenie z algebry, innymi słowy – nic specjalnego. Razem z moją najlepszą przyjaciółką, genialną Lilly Moscovitz, zajmujemy miejsce na samym dole szkolnej hierarchii… choć ja mogę niedługo spaść jeszcze niżej, bo moja matka, zwariowana artystka, właśnie zaczęła randkować z nauczycielem. I to – uwaga! – naszym nauczycielem algebry (przypominam – zagrożenie). Gdy mi o tym powiedziała, byłam naprawdę wściekła – bo chyba nie może być już gorzej?A nie, wróć… może.Ojciec właśnie stwierdził, że ten tragiczny moment w moim życiu to idealny czas na to, żeby wyjawić mi, że jest księciem małego europejskiego państwa.Księciem, który nie może mieć więcej dzieci.Świetnie, co nie?Teraz on i grand-mère próbują przekonać mnie do wyjazdu do ich kraju, Genovii, nauki manier i wszystkiego, co wiąże się z byciem następczynią tronu (!). Moje zdanie niezbyt ich interesuje… A ja kocham Nowy Jork i nie chcę go opuszczać, nawet jeśli od teraz będę musiała ukrywać prawdę na swój temat. Chociaż, szczerze mówiąc, nie wiem, kto by uwierzył w tę porąbaną historię. Bo jak to brzmi? Sami zobaczcie:Cześć, jestem Mia. Mam czternaście lat… i chyba zostałam księżniczką. ",470,7080,0,literatura młodzieżowa,papier,Pamiętnik księżniczki (tom 1),The Princess Diaries,Prószyński i S-ka,2024-01-09,2001-01-01,2000-05-30,280.0,4  godz. 40 min.,polski,9788383521671,Magdalena Moltzan-Małkowska,Pamiętnik księżniczki (2001),12295,1004.0,298.0,725,44.0,,młodzieżowe&pamiętnik,356,459,604,1594,1635,1365,377,433,72,185,https://lubimyczytac.pl/ksiazka/5084462/pamietnik-ksiezniczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnie Garmus,https://lubimyczytac.pl/autor/232239/bonnie-garmus," Teraz światowy bestseller w nowej oprawie!Elizabeth Zott jest chemiczką i kobietą daleką od przeciętności. Byłaby zresztą gotowa jako pierwsza spierać się, czy coś takiego jak „przeciętna kobieta” w ogóle istnieje. Ale jest połowa lat 50. i jej koledzy z całkowicie męskoosobowego zespołu naukowców prezentują bardzo nienaukowe podejście do kwestii równouprawnienia płci. Wszyscy z wyjątkiem jednego: to Calvin Evans, słynący z pamiętliwości samotny geniusz, który zakochuje w umyśle Elizabeth. Co skutkuje autentyczną chemią.Tyle że, podobnie jak w przypadku nauki, życie bywa nieprzewidywalne. Dlatego parę lat później Elizabeth jest nie tylko samotną matką, ale i gwiazdą telewizyjnego programu kulinarnego. Jej niezwykłe podejście do gotowania staje się zaczątkiem rewolucji. W miarę jednak jak rosną zastępy jej sympatyków, rośnie też grupa niezadowolonych. Okazuje się bowiem, że Elizabeth nie uczy kobiet po prostu gotować – robi znacznie więcej. Ośmiela je do zmiany status quo.""Lekcje chemii"" są oryginalne i dynamiczne, a do tego zabawne do rozpuku, przenikliwie trafne i pełne krwistych postaci drugoplanowych. ",1084,7346,0,literatura piękna,papier,,Lessons in Chemistry,Marginesy,2024-11-13,2022-09-07,2022-04-05,464.0,7  godz. 44 min.,polski,9788368265088,Marek Cieślik,Lekcje chemii (2023),8312,526.0,247.0,4147,,229.0,chemiczka&gotowanie&kobieta&feminizm&pewność siebie&literatura amerykańska,986,1637,2530,1323,507,181,79,54,30,19,https://lubimyczytac.pl/ksiazka/5164809/lekcje-chemii,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlan Coben,https://lubimyczytac.pl/autor/18011/harlan-coben," JEDEN TELEFON, JEDNA OBIETNICA, A ŻYCIE STAJE SIĘ KOSZMAREM. MYRON BOLITAR TYM RAZEM CHCIAŁ TRZYMAĆ SIĘ Z DALEKA OD KŁOPOTÓW.ALE KŁOPOTY ZDAJĄ SIĘ O TYM NIE WIEDZIEĆ… Wszystko zaczyna się od jednego telefonu. Wystraszona nastolatka, Aimee, potrzebuje pomocy, a Myron Bolitar nie może jej odmówić. Zabiera ją z ciemnej ulicy i – chociaż wcale nie chce tego robić – zawozi pod nieznany adres. Gorzko tego pożałuje.Dziewczyna znika, a Myron jest ostatnią osobą, która ją widziała. Przez jedną obietnicę, złożoną w dobrej wierze, jego życie – i życie rodziców Aimee – zamienia się w koszmar. Mimo że od sześciu lat nie zajmował się żadną sprawą kryminalną, Bolitar postanawia wrócić do praktyki detektywistycznej i odnaleźć dziewczynę, zanim ta przepadnie na dobre.SKOMPLIKOWANE ŚLEDZTWA, KULISY ŚWIATA SPORTU I PEŁNE NAMIĘTNOŚCI RELACJE MIĘDZY BARWNYMI POSTACIAMI – TO ZNAKI ROZPOZNAWCZE HARLANA COBENA, AMERYKAŃSKIEGO MISTRZA THRILLERA. SERIA O MYRONIE BOLITARZE TO ELEKTRYZUJĄCA UCZTA DLA MIŁOŚNIKÓW ZAGADEK KRYMINALNYCH – PEŁNA INTRYG I ZASKAKUJĄCYCH ZWROTÓW AKCJI, BŁYSKOTLIWYCH DIALOGÓW ORAZ DUŻEJ DAWKI HUMORU!SERIAL Z MYRONEM BOLITAREM JUŻ WKRÓTCE NA PLATFORMIE NETFLIX! ",373,7097,0,"kryminał, sensacja, thriller",papier,Myron Bolitar (tom 8),Promise me,Albatros,2024-09-04,2007-01-01,2006-01-01,416.0,6  godz. 56 min.,polski,9788383613451,Zbigniew A. Królicki,,10672,1777.0,255.0,3161,,94.0,,456,702,1689,2703,1097,350,53,34,6,7,https://lubimyczytac.pl/ksiazka/5127591/obiecaj-mi,,,,W labiryncie kłamstw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yōko Ogawa,https://lubimyczytac.pl/autor/49942/y-ko-ogawa," Jak przystało na wybitnego matematyka, Profesor ma swoje dziwactwa. Pewnego dnia w progu jego domu pojawia się nowa gosposia z synem, od tej pory nazywanym pieszczotliwie Pierwiastkiem. Wspólne życie pokaże, że znacznie łatwiej napisać skomplikowane równanie niż ułożyć relacje z drugim człowiekiem. Językiem, który pozwoli im zbudować namiastkę rodziny, stają się matematyka i baseball. Ale swoją relację będą musieli odbudowywać co osiemdziesiąt minut…Ukochane równanie profesora Yōko Ogawy zostało wyróżnione pierwszą w historii nagrodą Hon’ya Taishō, przyznawaną przez japoński kolektyw księgarzy. Ta kameralna opowieść do dziś pozostaje bestsellerem i uznawana jest za jedną z najukochańszych powieści współczesnej Japonii. ",957,7074,0,literatura piękna,papier,,博士の愛した数式,Tajfuny,2019-07-07,2019-07-07,2005-12-01,192.0,3  godz. 12 min.,polski,9788395243325,Anna Horikoshi,,8289,1060.0,259.0,5193,,220.0,literatura japońska&proza współczesna,562,1065,2192,2039,838,248,73,33,15,9,https://lubimyczytac.pl/ksiazka/4889168/ukochane-rownanie-profesora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przemysław Piotrowski,https://lubimyczytac.pl/autor/111252/przemyslaw-piotrowski," Zima. W lesie nieopodal Zielonej Góry odnaleziona zostaje ręka. Wstępne oględziny wskazują, że została ona… odgryziona przez człowieka.Atmosfera niepokoju w mieście narasta. W mediach pojawiają się pogłoski o grasującym w okolicach wilkołaku. Niedługo potem śledczy trafiają na zmasakrowane zwłoki zaginionej niedawno zakonnicy – ofiara została zamordowana, a jej ciało rozszarpały wilki. Inspektor Romuald Czarnecki powołuje specjalną grupę dochodzeniowo-śledczą, w skład której wchodzą również Igor Brudny i Julia Zawadzka ze stołecznej policji. Talent i trudna przeszłość komisarza Brudnego po raz kolejny mogą okazać się nieocenione.Mimo zdecydowanych działań śledztwo komplikuje się coraz bardziej. Brudny musi ustalić, czy sprawca ma jakiś związek z sierocińcem sióstr hieronimek, w którym sam się wychowywał. Łowy dopiero się zaczynają. ",1047,6896,0,"kryminał, sensacja, thriller",papier,Igor Brudny (tom 2),,Czarna Owca,2020-08-12,2020-08-12,,536.0,8  godz. 56 min.,polski,9788381436045,,,8071,911.0,125.0,2019,,106.0,kryminał&literatura polska&manipulacja&obsesja&panika&policjant&polski kryminał&powieść kryminalna&seryjny zabójca&śledztwo&zemsta,636,936,2293,1940,761,189,69,48,13,11,https://lubimyczytac.pl/ksiazka/4926861/sfora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlan Coben,https://lubimyczytac.pl/autor/18011/harlan-coben," Kto mógł porwać nastoletniego syna Jacka Coldrena, znanego golfisty, lidera mistrzostw USA?Agent sportowy Myron Bolitar starannie zbiera poszlaki i rusza w pogoń za podejrzanymi. Czeka go niemałe zaskoczenie, kiedy prowadząc tę sprawę, natyka się na niewyjaśnione morderstwo sprzed dwudziestu trzech lat. Jak obie sprawy się łączą? Czy uda się uratować chłopca?Jedyny trop, jakim dysponuje Myron, to karta kredytowa zaginionego, z której ktoś ciągle korzysta. Im głębiej Bolitar wnika w sekrety rodziny znanego golfisty, tym więcej pojawia się wokół niego arystokratów i… kryminalistów. Jak się okazuje, golf to niezwykle brutalna gra.Emocjonujący thriller z jednym z najbardziej fascynujących i złożonych bohaterów, jakich kiedykolwiek powołano do życia.„Błękitna krew“ jest kryminałem totalnym. Muszę przyznać, że jak zwykle dałem się zaskoczyć i po raz kolejny przyrzekłem sobie, że nie będę próbował zgadywać, jak rozwiąże się akcja w książkach Cobena. Harpen, Gildia.plHarlan Coben jest wybitnym autorem thrillerów – i moim ulubionym. John Grisham ",370,6473,0,"kryminał, sensacja, thriller",papier,Myron Bolitar (tom 4),Back Spin,Albatros,2024-08-14,2006-01-01,1998-06-01,384.0,6  godz. 24 min.,polski,9788383613437,Andrzej Grabowski,,9635,1454.0,197.0,2705,,90.0,Myrion Bolitar&thriller&Harlan Coben,391,542,1329,2380,1240,448,84,50,6,3,https://lubimyczytac.pl/ksiazka/5119852/blekitna-krew,,,,W labiryncie kłamstw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrzej Pilipiuk,https://lubimyczytac.pl/autor/3218/andrzej-pilipiuk," Jakub Wędrowycz polską odpowiedzią na Conana Barbarzyńcę.- Andriej BielaninŻe bimbrownik, degenerat i społeczny pasożyt? A kto ochronił ludzkość przed Golemem i skrzyżowaniem wąglika z chorobą wściekłych krów? Dzięki komu doszło do obrad Okrągłego Stołu? Kto niby w 1948. uratował Świętego Mikołaja przed komunistami?Wędrowycz żywi, poi, ubiera, Wędrowycz nigdy nie umiera. Właśnie rusza na podbój stolicy. ",255,6191,0,"fantasy, science fiction",papier,Oblicza Wędrowycza (tom 6),,Fabryka Słów,2009-08-28,2009-08-28,,360.0,6  godz. 0 min.,polski,9788375741889,,,9103,1802.0,256.0,1720,80.0,65.0,Jakub Wędrowycz&egzorcysta&bimbrownik,371,512,1005,1989,1321,628,153,149,29,34,https://lubimyczytac.pl/ksiazka/4540/homo-bimbrownikus,,,,Bestsellery polskiej fantastyki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrzej Pilipiuk,https://lubimyczytac.pl/autor/3218/andrzej-pilipiuk," Kiedy wrogie armie ścierają się koło twego domu, kiedy Zieloni Mściciele wkraczają do akcji, a potężna klątwa egipska zagraża wszystkim i wszystkiemu, pojawia się On. Nie jest superbohaterem, nadczłowiekiem, nie ratuje ludzkości w imię wyższych celów. Rozpoznacie go bez trudu. Walonki, kufajka, czapka uszanka i ten specyficzny... aromat? Najbardziej charakterystyczny bohater polskiej fantastyki. Bimbrownik, egzorcysta... po prostu Jakub Wędrowycz. Powraca w wielkim stylu!„Wieszać każdy może” to kolejna książka o tej kultowej postaci. W typowo „wędrowyczowskich” opowiadaniach poznacie jedną z wojennych przygód bohatera, dowiecie się, kim są „Zieloni Mściciele” oraz wysłuchacie wykładu na tematy fachowe. Autor ujawni wreszcie prawdziwe imię Baby Jagi i pokaże zgubne efekty działania kaca. Po raz pierwszy okaże się również, że był ktoś, kto mógł wypić więcej niż Jakub Wędrowycz. Ale nie był człowiekiem, więc się nie liczy. A na koniec... na koniec poznacie siłę prawdziwej egipskiej klątwy.Tym razem do Wędrowycza dołączy również Wieśmin – bohater opowiadania nagrodzonego w konkursie literackim „U nas za stodołą”. Opowiadanie po części wyjaśnia tajemnicę niezwykłej płodności twórczej Andrzeja Pilipiuka. ",197,6160,0,"fantasy, science fiction",papier,Oblicza Wędrowycza (tom 5),,Fabryka Słów,2009-01-01,2009-01-01,,328.0,5  godz. 28 min.,polski,9788375740639,,,9264,1769.0,291.0,1572,83.0,41.0,Jakub Wędrowycz&egzorcysta&bimbrownik,398,639,1324,2240,965,422,83,63,12,14,https://lubimyczytac.pl/ksiazka/4307/wieszac-kazdy-moze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colleen Hoover,https://lubimyczytac.pl/autor/69326/colleen-hoover," Znajdź w sobie odwagę, by wyznać… SEKRET PRAWDĘ MIŁOŚĆ Niewypowiedziane pragnienia, bolesna przeszłość i głęboko skrywane grzechy są dla Owena największą inspiracją. Utalentowany malarz kolekcjonuje anonimowe wyznania i przenosi je na płótno. Auburn od kilku lat walczy o odzyskanie normalnego życia i desperacko potrzebuje pieniędzy. Zakochanie się w przystojnym malarzu nie jest częścią jej planu, ale przekorne przeznaczenie stawia na swoim. Dziewczyna odkrywa jednak, że przeszłość ukochanego może odebrać jej to, co dla niej najważniejsze...Wszystkie wyznania, które przeczytacie w tej powieści, są prawdziwe. ",667,6245,0,"literatura obyczajowa, romans",papier,,Confess,Otwarte,2017-05-10,2017-01-01,2015-03-10,304.0,5  godz. 4 min.,polski,9788375154382,Matylda Biernacka,,8310,1258.0,598.0,4618,99.0,114.0,,1108,1178,1643,1334,616,224,72,49,11,10,https://lubimyczytac.pl/ksiazka/4408249/confess,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer L. Armentrout,https://lubimyczytac.pl/autor/63908/jennifer-l-armentrout," Oni nie są tacy jak my…Kiedy przeprowadziliśmy się do Zachodniej Wirginii, zanim zaczęłam mój ostatni rok w szkole, musiałam przyzwyczaić się do dziwacznego akcentu, rwącego się łącza internetowego i całego morza otaczającej mnie nudy. Aż do momentu, kiedy spotkałam mojego nowego, wysokiego sąsiada o niesamowitych, zielonych oczach. Wtedy sprawy zaczęły obierać zupełnie inny kierunek.Jednak gdy zaczęłam z nim rozmawiać, zrozumiałam, że Daemon jest wyniosły, arogancki i doprowadza mnie do szału. Było nam zupełnie nie po drodze. Zupełnie. Jednak kiedy prawie nie zginęłam, a Daemon dosłownie zamroził czas, cóż... stało się coś zupełnie niespodziewanego.Przez niego i jego pochodzenie wpadłam w kłopoty i groziło mi śmiertelne niebezpieczeństwo. Jedyną szansą, żebym wyszła z tego cało, było trzymanie się blisko Daemona, który jako jedyny potrafił mnie ochronić. Oczywiście, jeśli za jego arogancję nie zabiję go pierwsza... ",713,6173,0,romantasy,papier,Lux (tom 1),Obsidian,Filia,2019-04-17,2014-05-21,2012-05-08,450.0,7  godz. 30 min.,polski,9788380756632,,,8365,1234.0,984.0,3930,254.0,83.0,,1387,960,1489,1229,629,292,81,52,27,27,https://lubimyczytac.pl/ksiazka/4881760/obsydian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remigiusz Mróz,https://lubimyczytac.pl/autor/82094/remigiusz-mroz," Marszałek sejmu, Daria Seyda, budzi się w pokoju hotelowym, nie pamiętając, jak się w nim znalazła ani co się z nią działo przez ostatnich dziesięć godzin. Jest przekonana, że stała się ofiarą manipulacji, ale nie wie, kto ani dlaczego może za nią stać.Tymczasem Patryk Hauer, wschodząca gwiazda prawicy, podczas prac komisji śledczej odkrywa polityczny spisek sięgający najistotniejszych osób w kręgach władzy.Seyda i Hauer znajdują się po przeciwnych stronach sceny politycznej. Dzieli ich wszystko, ale połączy jedna sprawa… ",715,6265,0,"kryminał, sensacja, thriller",papier,W kręgach władzy (tom 1),,Filia,2022-10-12,2017-01-11,,624.0,10  godz. 24 min.,polski,9788382803013,,Wotum nieufności (2022),8282,1690.0,132.0,3437,,263.0,political fiction&literatura polska&manipulacja&niebezpieczeństwo&powieść kryminalna&szantaż&śledztwo&walka o władzę&zagadka kryminalna,404,723,1749,1960,934,288,90,74,19,24,https://lubimyczytac.pl/ksiazka/5040210/wotum-nieufnosci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Vonnegut,https://lubimyczytac.pl/autor/16435/kurt-vonnegut," Jedna z najważniejszych pozycji w bogatym dorobku Kurta Vonneguta, urzekającą bogactwem pomysłów i komizmu.„Kocia kołyska” to przypowiastka filozoficzna o współczesnym świecie i jego końcu, to Kurt Vonnegut w swojej mistrzowskiej formie. I właśnie po ukazaniu się tej powieści Graham Green nazwał go jednym z największych pisarzy amerykańskich.Narrator zamierza napisać książkę o wybuchu pierwszej bomby atomowej i życiu jej twórcy, doktora Feliksa Hoenikera. Tymczasem trafia na wyimaginowaną wyspę San Lorenzo, skąd obserwuje rzeczywistą zagładę Ameryki, która miała być tematem jego powieści. Wariacje Vonneguta na temat ludzkiej pomysłowości i zamiłowania do zabaw i gier obrazują kondycję naszej cywilizacji, w której ludzie wolą uciekać w fantazję i kłamstwa, zawierzyć choćby najbardziej nieprawdopodobnej religii niż zmagać się z rzeczywistością i prawdą. ",347,5720,0,literatura piękna,papier,,Cat's Cradle,Zysk i S-ka,2019-01-28,1971-01-01,1988-01-01,360.0,6  godz. 0 min.,polski,9788381165440,Lech Jęczmyk,,7758,1523.0,366.0,3736,57.0,103.0,,420,955,1491,1689,726,304,77,47,6,6,https://lubimyczytac.pl/ksiazka/4873198/kocia-kolyska,,,,Vonnegut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
